id,summary,start,end,location
ADE6050726f6a65745f323032332d323032342d31313736352d302d33,Hist. BDR,20240319T071500Z,20240319T091500Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d33323536372d302d31,Conduite de projets,20240319T093000Z,20240319T113000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d34393533372d302d30,CTVA TD1,20240320T093000Z,20240320T113000Z,GT0.02
ADE6050726f6a65745f323032332d323032342d37343133352d302d30,SAé 2.03 visite TPB,20240322T120000Z,20240322T160000Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d3131393837312d302d33,MEAG,20240319T093000Z,20240319T113000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d39383937372d31372d30,UE6,20240318T071500Z,20240318T091500Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d39383137332d302d30,SAé 4.03 Réal DS,20240321T073000Z,20240321T083000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d39363138302d302d30,DS - Génie alimentaire et cosmétique - S2,20240322T084500Z,20240322T104500Z,Salle DS
ADE6050726f6a65745f323032332d323032342d37313934372d302d35,TD  Conditionnement d'air Optim,20240322T143000Z,20240322T163000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d38373435372d302d30,R404 Meth. d'opt (DS),20240318T093000Z,20240318T110000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d3131393836382d302d31,SV,20240322T130000Z,20240322T150000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d34333530382d302d3130,Mathématiques TD2,20240322T093000Z,20240322T113000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d39333031392d302d30,R211 Droit (DS),20240322T144500Z,20240322T164500Z,Salle DS
ADE6050726f6a65745f323032332d323032342d34393530312d302d31,Anglais TD2,20240322T123000Z,20240322T143000Z,Labo Langues
ADE6050726f6a65745f323032332d323032342d34393530312d302d31,Anglais TD2,20240322T123000Z,20240322T143000Z,GT0.01
ADE6050726f6a65745f323032332d323032342d31313339342d302d32,Med.,20240318T130000Z,20240318T150000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d35393635352d312d30,Saé 2.02 TPB,20240318T073000Z,20240318T113000Z,GT0.01
ADE6050726f6a65745f323032332d323032342d35393635352d312d30,Saé 2.02 TPB,20240318T073000Z,20240318T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d32353435382d302d30,DS - Etiquetage et eau dans les aliments - S2,20240319T073000Z,20240319T083000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d31313633302d302d36,MCF,20240322T071500Z,20240322T091500Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d37333039332d302d30,TD Production et distribution de vapeur Optim (Quattrone),20240319T144500Z,20240319T164500Z,GT0.08
ADE6050726f6a65745f323032332d323032342d3130303036372d302d31,Outils complémentaires 2nde phase,20240318T124500Z,20240318T164500Z,GT1.08 elec
ADE6050726f6a65745f323032332d323032342d3130303036372d302d31,Outils complémentaires 2nde phase,20240318T124500Z,20240318T164500Z,GT1.08 regul
ADE6050726f6a65745f323032332d323032342d3130303036372d302d31,Outils complémentaires 2nde phase,20240318T124500Z,20240318T164500Z,GT0.08
ADE6050726f6a65745f323032332d323032342d3133363534352d302d30,ds mathématiques,20240321T070000Z,20240321T083000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d39393933322d302d30,DS - Lipides - S2,20240320T070000Z,20240320T073000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d3131393837362d302d30,MD,20240320T071500Z,20240320T091500Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d38373435342d302d32,R4A12 Langages (G2),20240318T144500Z,20240318T164500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3134,Projet,20240321T073000Z,20240321T113000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d39323135372d302d36,R210 Gest. Orga. (G1),20240321T093000Z,20240321T113000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38323431372d302d36,R4A11 Dev mobile (G2.1),20240322T073000Z,20240322T113000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d38373435352d302d31,R4A12 Langages (G1),20240320T124500Z,20240320T144500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38323132332d302d30,R403 Au-delà relationnel (TP noté),20240318T124500Z,20240318T144500Z,IN1.05
ADE6050726f6a65745f323032332d323032342d38323334312d302d35,R4A10 Compl Web (G2),20240322T124500Z,20240322T164500Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38383132342d302d3130,R207 Graphes (G1),20240322T093000Z,20240322T113000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d39333237302d302d36,R213 Comm bureautique - SAÉ 206 (G2),20240321T093000Z,20240321T113000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38303735332d302d3230,ESPAGNOL,20240319T163000Z,20240319T173000Z,IN0.00
ADE6050726f6a65745f323032332d323032342d39323037362d302d30,R208 Stat. descriptives (G1),20240318T073000Z,20240318T093000Z,IN2.01
ADE6050726f6a65745f323032332d323032342d38313936382d302d30,R401 Archi Log (TP noté),20240320T093000Z,20240320T113000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d38373932302d302d31,R203 Qual de dev (G2.2),20240320T073000Z,20240320T113000Z,IN1.08
ADE6050726f6a65745f323032332d323032342d39333235312d302d30,R213 Comm (G1),20240319T124500Z,20240319T144500Z,IN0.08
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3334,Projet,20240319T124500Z,20240319T164500Z,IN0.05
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3239,Projet,20240318T124500Z,20240318T164500Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38363737372d302d32,R402 Qual. de Dev (ang) (G1),20240319T073000Z,20240319T113000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d39313833362d302d31,R206 Exploit. BD (G1),20240318T124500Z,20240318T164500Z,IN2.01
ADE6050726f6a65745f323032332d323032342d3133363437372d302d30,SAÉ S4,20240321T073000Z,20240321T113000Z,IN1.06
ADE6050726f6a65745f323032332d323032342d3133363437372d302d30,SAÉ S4,20240321T073000Z,20240321T113000Z,IN1.07
ADE6050726f6a65745f323032332d323032342d3133363437372d302d30,SAÉ S4,20240321T073000Z,20240321T113000Z,IN1.08
ADE6050726f6a65745f323032332d323032342d3133363437372d302d30,SAÉ S4,20240321T073000Z,20240321T113000Z,IN0.05
ADE6050726f6a65745f323032332d323032342d3133363437372d302d30,SAÉ S4,20240321T073000Z,20240321T113000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d3133363437372d302d30,SAÉ S4,20240321T073000Z,20240321T113000Z,IN0.08
ADE6050726f6a65745f323032332d323032342d38323036312d302d30,R401 Archi Log (TP noté),20240320T093000Z,20240320T113000Z,IN1.06
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3238,Projet,20240320T073000Z,20240320T113000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d33353533362d382d30,Maths opt 2 (complexes),20240319T114500Z,20240319T124500Z,IN0.03
ADE6050726f6a65745f323032332d323032342d39323836302d302d38,R211 Droit (G1),20240318T093000Z,20240318T113000Z,IN0.07
